epochs,accuracy,lossFunction
0,0.91,0.91
1,0.96,0.96
2,0.96,0.96
3,0.92,0.92
4,0.98,0.98
5,0.96,0.96
6,0.96,0.96
7,0.98,0.98
8,0.97,0.97
9,0.96,0.96
10,0.97,0.97
11,0.96,0.96
12,0.95,0.95
13,0.98,0.98
14,0.97,0.97
15,0.94,0.94
16,0.95,0.95
17,0.93,0.93
18,0.99,0.99
19,0.96,0.96
20,0.99,0.99
21,0.97,0.97
22,0.96,0.96
23,0.96,0.96
24,0.96,0.96
25,0.96,0.96
26,0.99,0.99
27,0.96,0.96
28,0.97,0.97
29,0.93,0.93
30,0.93,0.93
31,0.95,0.95
32,0.98,0.98
33,0.98,0.98
34,0.93,0.93
35,0.96,0.96
36,0.98,0.98
37,0.98,0.98
38,0.98,0.98
39,0.97,0.97
40,0.97,0.97
41,0.95,0.95
42,0.96,0.96
43,0.97,0.97
44,0.98,0.98
45,0.96,0.96
46,0.97,0.97
47,0.96,0.96
48,0.98,0.98
49,0.96,0.96
50,0.97,0.97
51,0.99,0.99
52,0.97,0.97
53,0.96,0.96
54,0.95,0.95
55,0.96,0.96
56,0.95,0.95
57,0.96,0.96
58,0.96,0.96
59,0.94,0.94
60,0.98,0.98
61,0.95,0.95
62,0.95,0.95
63,0.97,0.97
64,0.97,0.97
65,0.96,0.96
66,0.97,0.97
67,0.96,0.96
68,0.98,0.98
69,0.97,0.97
70,0.98,0.98
71,0.95,0.95
72,0.97,0.97
73,0.98,0.98
74,0.93,0.93
75,0.98,0.98
76,0.94,0.94
77,0.96,0.96
78,0.96,0.96
79,0.96,0.96
80,0.94,0.94
81,0.97,0.97
82,0.99,0.99
83,0.94,0.94
84,0.96,0.96
85,0.93,0.93
86,0.97,0.97
87,0.93,0.93
88,0.99,0.99
89,0.97,0.97
90,0.98,0.98
91,0.97,0.97
92,0.97,0.97
93,0.97,0.97
94,0.99,0.99
95,0.97,0.97
96,0.95,0.95
97,0.97,0.97
98,0.95,0.95
99,0.96,0.96
100,0.98,0.98
101,0.96,0.96
102,0.98,0.98
103,0.96,0.96
104,0.97,0.97
105,0.97,0.97
106,0.98,0.98
107,0.97,0.97
108,0.98,0.98
109,0.98,0.98
110,0.95,0.95
111,0.98,0.98
112,0.96,0.96
113,0.95,0.95
114,0.95,0.95
115,0.95,0.95
116,0.96,0.96
117,0.99,0.99
118,0.96,0.96
119,0.96,0.96
120,0.97,0.97
121,0.97,0.97
122,0.95,0.95
123,0.97,0.97
124,0.97,0.97
125,0.98,0.98
126,0.95,0.95
127,0.96,0.96
128,0.96,0.96
129,0.94,0.94
130,0.95,0.95
131,0.96,0.96
132,0.96,0.96
133,0.96,0.96
134,0.96,0.96
135,0.95,0.95
136,0.96,0.96
137,0.95,0.95
138,0.97,0.97
139,0.95,0.95
140,0.98,0.98
141,0.97,0.97
142,0.97,0.97
143,0.98,0.98
144,0.94,0.94
145,0.98,0.98
146,0.97,0.97
147,0.97,0.97
148,0.96,0.96
149,0.97,0.97
150,0.93,0.93
151,0.97,0.97
152,0.98,0.98
153,0.95,0.95
154,0.96,0.96
155,0.99,0.99
156,0.95,0.95
157,0.97,0.97
158,0.95,0.95
159,0.97,0.97
160,0.96,0.96
161,0.98,0.98
162,0.96,0.96
163,0.95,0.95
164,0.96,0.96
165,0.96,0.96
166,0.95,0.95
167,0.96,0.96
168,0.96,0.96
169,0.92,0.92
170,0.97,0.97
171,0.97,0.97
172,0.95,0.95
173,0.97,0.97
174,0.95,0.95
175,0.99,0.99
176,0.99,0.99
177,0.96,0.96
178,0.97,0.97
179,0.99,0.99
180,0.96,0.96
181,0.97,0.97
182,0.95,0.95
183,0.97,0.97
184,0.97,0.97
185,0.95,0.95
186,0.95,0.95
187,0.97,0.97
188,0.95,0.95
189,0.96,0.96
190,0.97,0.97
191,0.97,0.97
192,0.96,0.96
193,0.98,0.98
194,0.96,0.96
195,0.97,0.97
196,0.96,0.96
197,0.96,0.96
198,0.97,0.97
199,0.97,0.97
200,0.95,0.95
201,0.95,0.95
202,0.99,0.99
203,0.98,0.98
204,0.94,0.94
205,0.97,0.97
206,0.97,0.97
207,0.97,0.97
208,0.97,0.97
209,0.97,0.97
210,0.96,0.96
211,0.94,0.94
212,0.97,0.97
213,0.96,0.96
214,0.97,0.97
215,0.97,0.97
216,0.95,0.95
